code,prefecture,city_en,city_jp,pop_2025_m,pop_2025_f,pop_2025_total,under20_2015,under20_2016,under20_2017,under20_2018,under20_2019,under20_2020,under20_2021,under20_2022,under20_2023,under20_2024,under20_2025,under20_cagr_10y,age2039_2015,age2039_2016,age2039_2017,age2039_2018,age2039_2019,age2039_2020,age2039_2021,age2039_2022,age2039_2023,age2039_2024,age2039_2025,age2039_cagr_10y
122165,Chiba,Narashino,習志野市,86985,88120,175105,30647,31031,31624,31643,31336,31163,30721,30427,29903,29475,29048,-0.0073105989161716955,42895,42816,43242,42708,42290,41971,42306,41870,41353,41357,41546,-0.0033400337904723187
122173,Chiba,Kashiwa,柏市,216041,221593,437634,72352,72504,73034,73371,73643,74054,74245,74237,74040,73783,73468,0.0014686556993166455,101378,99778,98656,97883,97347,98052,98452,98279,98639,98455,98933,-0.0009445386187297844
122181,Chiba,Katsuura,勝浦市,7592,7621,15213,2530,2415,2188,2150,2081,1974,1849,1668,1640,1552,1478,-0.05309509427139947,3651,3450,3272,2985,2781,2651,2595,2455,2294,2127,1951,-0.061372810325435956
122190,Chiba,Ichihara,市原市,137547,129314,266861,47719,47096,46534,45806,45060,44274,43235,42161,41096,40120,38963,-0.020843659253112934,65091,63403,62099,60606,59547,58242,57258,56051,55465,54754,54324,-0.017025080507714452
122203,Chiba,Nagareyama,流山市,104506,108056,212562,31777,32801,34104,35582,37021,38428,39777,41137,42553,43171,43553,0.03200362129423073,44158,44616,45331,46422,47411,48293,49400,50159,50600,50475,50314,0.013444106692236835
122211,Chiba,Yachiyo,八千代市,101990,104702,206692,37347,37286,37050,36952,36414,36078,36060,35630,35311,34899,34420,-0.008847311301173666,44831,44335,43747,43793,43831,43749,44730,45028,45656,46249,47004,0.006516504136343748
122220,Chiba,Abiko,我孫子市,64174,67143,131317,22869,22623,22364,21956,21585,21191,20701,20304,19714,19433,18965,-0.0194061085592383,28196,27161,26356,25937,25587,25352,24925,24854,25026,25545,25918,-0.005191412559156672
122238,Chiba,Kamogawa,鴨川市,14517,15692,30209,5096,4951,4792,4715,4600,4515,4375,4186,3978,3846,3727,-0.031061362895425937,6631,6508,6289,6117,5954,5828,5802,5703,5583,5520,5318,-0.022187368589111967
122246,Chiba,Kamagaya,鎌ケ谷市,54001,55756,109757,19148,18972,18791,18643,18330,18077,17715,17421,17123,16801,16578,-0.014875767529315742,25559,24809,24061,23810,23446,23210,23094,22985,22749,22920,23095,-0.007922929783417798
122254,Chiba,Kimitsu,君津市,40494,39026,79520,14522,14207,13848,13507,13167,12801,12411,11924,11595,11340,11056,-0.027477816207117423,19826,19262,18702,18186,17751,17257,16874,16481,16094,15772,15475,-0.024029734086161825
122262,Chiba,Futtsu,富津市,20653,19774,40427,6567,6428,6226,6053,5873,5613,5460,5262,5028,4866,4659,-0.03513058957239035,8863,8547,8286,8078,7845,7583,7373,7077,6734,6517,6407,-0.03151377803170763
122271,Chiba,Urayasu,浦安市,82954,88368,171322,32992,32856,32886,32707,32299,31688,30824,29811,29221,28575,27807,-0.018367728695885654,46945,46660,47467,47593,48162,48376,47983,47050,47397,48138,48893,0.005207620580846228
122289,Chiba,Yotsukaido,四街道市,48312,48112,96424,16575,16597,16705,16860,17036,17175,17150,17237,17255,17261,17124,0.0034792644316585797,20130,19634,19568,19490,19433,19418,19595,19564,19608,19489,19503,-0.0007435520258521899
122297,Chiba,Sodegaura,袖ケ浦市,33529,32562,66091,11507,11486,11416,11457,11672,11765,11819,11809,11904,11907,11865,0.00361362316565339,14497,14202,14017,14003,14152,14308,14405,14471,14427,14481,14319,0.0009120297499822794
122301,Chiba,Yachimata,八街市,34288,32343,66631,12299,11796,11261,10831,10340,9892,9484,9048,8708,8514,8243,-0.039039326039799094,15844,15303,14976,14604,14146,13861,13659,13040,13049,12951,12997,-0.017984134064488178
122319,Chiba,Inzai,印西市,55381,56350,111731,18841,19181,19728,20344,20957,21683,22233,22741,23597,24009,23855,0.02452634535135756,22671,22380,22728,22836,22911,22983,23315,23356,23390,22946,22497,0.0005795305411486762
122327,Chiba,Shiroi,白井市,31050,31168,62218,12700,12765,12704,12720,12607,12368,12183,11832,11621,11327,10851,-0.017888053629081524,14229,13822,13326,13017,12664,12007,11554,11238,11187,11077,10993,-0.025123768091842247
122335,Chiba,Tomisato,富里市,25595,24404,49999,8331,8287,8098,7955,7833,7757,7613,7318,7163,7062,6966,-0.019109154720552746,12367,12045,12049,12010,11846,11682,11478,10998,11024,11235,11513,-0.005006625347229954
122343,Chiba,Minamiboso,南房総市,16357,17709,34066,5278,5146,5009,4836,4689,4508,4364,4163,3991,3820,3642,-0.03768134114031718,5830,5509,5265,4974,4812,4613,4408,4176,4072,3864,3736,-0.042234158632015295
122351,Chiba,Sosa,匝瑳市,16613,16681,33294,6068,5899,5764,5614,5421,5256,5069,4851,4665,4488,4320,-0.03402194296009198,7687,7352,7022,6818,6602,6359,6164,5892,5691,5549,5395,-0.033804288263792226
122360,Chiba,Katori,香取市,34699,34876,69575,12092,11715,11361,10971,10611,10215,9872,9496,9107,8752,8402,-0.03625964947406546,15542,15048,14655,14183,13810,13258,12774,12274,11905,11762,11439,-0.03000901611810103
122378,Chiba,Sanmu,山武市,24311,23434,47745,8271,7999,7674,7311,7032,6778,6441,6226,6057,5868,5585,-0.039128580803976964,10723,10245,9986,9722,9418,9130,8816,8411,8296,8081,7953,-0.027745658591508238
122386,Chiba,Isumi,いすみ市,17081,17624,34705,5547,5376,5188,5065,4910,4761,4609,4463,4293,4171,4021,-0.03175315541620172,6990,6721,6446,6140,5840,5595,5360,5055,4868,4671,4505,-0.043476475232055556
122394,Chiba,Oamishirasato,大網白里市,23526,24134,47660,8317,8109,7957,7754,7565,7404,7221,7058,6881,6748,6504,-0.02420851103287458,10473,10154,9867,9600,9435,9125,8928,8693,8507,8421,8226,-0.023124853084437014
123226,Chiba,Shisui,印旛郡酒々井町,9991,10104,20095,3451,3420,3371,3288,3202,3173,3083,2982,2854,2753,2671,-0.027091549131199488,5116,4949,4747,4618,4533,4414,4336,4216,4179,4216,4244,-0.01693051972754278
123293,Chiba,Sakae,印旛郡栄町,9687,9937,19624,2863,2810,2732,2666,2564,2456,2383,2315,2269,2243,2170,-0.028309051727980927,4596,4447,4224,4021,3844,3637,3509,3345,3231,3184,3115,-0.03878350814542797
123421,Chiba,Kozaki,香取郡神崎町,2861,2773,5634,977,936,901,887,852,814,781,746,725,694,679,-0.03503750025756269,1179,1149,1114,1091,1039,1028,973,955,959,942,934,-0.022756066623023652
123471,Chiba,Tako,香取郡多古町,6870,6556,13426,2136,2101,2001,1960,1905,1854,1788,1725,1686,1635,1607,-0.029343569509885148,2968,2869,2797,2774,2704,2645,2626,2428,2364,2358,2326,-0.02304296973484521
123498,Chiba,Tonosho,香取郡東庄町,6409,6198,12607,2220,2164,2107,2040,1974,1926,1840,1767,1692,1606,1518,-0.03863014158708622,2755,2616,2531,2509,2419,2333,2298,2231,2136,2093,1983,-0.030312797909756495
124036,Chiba,Kujukuri,山武郡九十九里町,6978,7026,14004,2325,2238,2123,2007,1917,1789,1719,1607,1514,1462,1368,-0.05322379369064445,3265,3096,2919,2709,2609,2495,2372,2201,2088,2031,1974,-0.048775755956321
124095,Chiba,Shibayama,山武郡芝山町,3400,3244,6644,1147,1122,1088,1053,987,968,916,867,855,835,792,-0.03796143792961959,1584,1532,1474,1472,1373,1354,1304,1265,1249,1205,1168,-0.02969260352092984
124109,Chiba,Yokoshibahikari,山武郡横芝光町,10920,11175,22095,3960,3839,3756,3650,3536,3432,3333,3204,3130,3048,2965,-0.028295833162055306,4680,4527,4417,4306,4147,4093,4017,3899,3741,3652,3603,-0.02504683839808952
124214,Chiba,Ichinomiya,長生郡一宮町,6087,6207,12294,2121,2128,2116,2104,2095,2068,2035,2027,1998,1983,1973,-0.0083678314287301,2511,2432,2310,2253,2261,2204,2218,2027,1957,1936,1946,-0.024466605903167182
124222,Chiba,Mutsuzawa,長生郡睦沢町,3205,3344,6549,1019,1023,981,946,947,925,929,924,911,877,862,-0.018846747169118494,1336,1289,1217,1211,1152,1100,1086,1038,991,945,921,-0.036662373164987105
124231,Chiba,Chosei,長生郡長生村,6582,6687,13269,2394,2310,2313,2232,2128,2047,1968,1898,1831,1747,1646,-0.036955339050045,2861,2807,2696,2622,2644,2521,2490,2416,2340,2253,2157,-0.02884232201855419
124249,Chiba,Shirako,長生郡白子町,5230,5146,10376,1563,1523,1488,1433,1428,1357,1340,1287,1259,1224,1172,-0.02868826830803972,2176,2013,1943,1874,1822,1746,1656,1563,1548,1466,1438,-0.03668494932515698
124265,Chiba,Nagara,長生郡長柄町,3173,3060,6233,986,957,907,883,853,799,750,703,663,640,612,-0.04846096430584512,1319,1241,1194,1154,1087,1022,988,931,891,838,840,-0.04243668290218239
124273,Chiba,Chonan,長生郡長南町,3537,3537,7074,1008,983,962,906,898,861,834,813,779,737,700,-0.037022681640783706,1489,1393,1335,1257,1204,1152,1117,1032,1009,945,917,-0.0453938090627225
124419,Chiba,Otaki,夷隅郡大多喜町,3958,4047,8005,1341,1283,1226,1201,1182,1122,1070,1040,1018,992,978,-0.029710447058513223,1665,1576,1509,1427,1338,1279,1226,1150,1076,1013,963,-0.05326156593413711
124435,Chiba,Onjuku,夷隅郡御宿町,3335,3577,6912,815,799,785,765,732,707,674,644,609,571,555,-0.039679400487895755,1027,975,947,907,849,796,775,722,702,698,677,-0.03971923867533089
124630,Chiba,Kyonan,安房郡鋸南町,3242,3437,6679,988,928,890,866,829,783,746,695,639,614,585,-0.04997680241267599,1226,1168,1126,1107,1026,951,903,872,847,820,791,-0.04238128118160456
131016,Tokyo,Chiyoda,千代田区,34502,34333,68835,8863,9298,9599,10060,10497,11015,11394,11406,11531,11678,11680,0.02566591281169117,18050,18454,18738,18920,19794,20496,20616,20012,20251,20404,20020,0.009091145111856713
131024,Tokyo,Chuo,中央区,89617,97787,187404,19894,21148,22808,24331,25746,27120,27914,28149,28480,28842,31235,0.04428522697743742,45503,46008,47180,48830,49764,51127,50644,49849,50147,50671,54109,0.0181839322322086
131032,Tokyo,Minato,港区,126062,141718,267780,36098,37564,39345,40936,42286,43095,43359,43125,43844,44856,45080,0.020472584615274902,75092,74259,74505,74461,73941,73541,70963,68686,70053,71307,71101,-0.004816981071654292
131041,Tokyo,Shinjuku,新宿区,177370,175347,352717,38216,39437,40382,41353,42390,42592,41779,40618,41596,42042,42349,0.007947005153966069,117251,119516,120520,121052,121679,121693,118170,114721,118246,119797,121995,0.0022836932936942667
131059,Tokyo,Bunkyo,文京区,112018,123326,235345,30833,31880,33049,33887,35077,36083,36614,36898,37546,38162,38670,0.021685706762190282,65069,64987,65672,66062,66901,68286,66714,65156,66677,67399,68685,0.006168232890182868
