code,prefecture,city_en,city_jp,pop_cagr,under20_cagr,age2039_cagr,income_cagr,crime_rate,score_pop,score_under20,score_2039,score_income,score_safety,macro_total,station_score,total_score
11215,Saitama,Sayama,狭山市,-0.004004,-0.018684,-0.015842,0.009951,6.2,5,5,5,3,5,23,34.0,57.0
11216,Saitama,Hanyu,羽生市,-0.003990,-0.020912,-0.009334,0.013498,9.5,5,4,6,4,1,20,27.0,47.0
11217,Saitama,Konosu,鴻巣市,-0.001466,-0.013543,-0.013683,0.014024,7.0,6,6,5,4,3,24,27.5,51.5
11218,Saitama,Fukaya,深谷市,-0.003405,-0.018358,-0.015415,0.014799,6.3,5,5,5,4,5,24,24.0,48.0
11219,Saitama,Ageo,上尾市,0.000948,-0.012908,-0.004024,0.023824,7.1,7,7,8,7,3,32,34.0,66.0
11221,Saitama,Soka,草加市,0.002659,-0.016199,0.003491,0.026661,7.4,7,6,9,8,3,33,40.5,73.5
11222,Saitama,Koshigaya,越谷市,0.002545,-0.010887,-0.007018,0.023784,9.3,7,7,7,7,1,29,39.0,68.0
11223,Saitama,Warabi,蕨市,0.005431,-0.003842,0.006482,0.023973,9.0,9,9,10,7,1,36,45.5,81.5
11224,Saitama,Toda,戸田市,0.006710,-0.008506,-0.001454,0.028379,8.0,9,8,8,8,2,35,42.0,77.0
11225,Saitama,Iruma,入間市,-0.004449,-0.022879,-0.019653,0.010301,6.6,4,4,4,3,4,19,35.5,54.5
11227,Saitama,Asaka,朝霞市,0.008471,-0.002323,0.002184,0.042417,6.6,10,9,9,10,4,42,42.0,84.0
11228,Saitama,Shiki,志木市,0.003630,-0.005473,-0.009444,0.021679,5.7,8,9,6,6,6,35,39.0,74.0
11229,Saitama,Wako,和光市,0.005961,-0.007808,0.001328,0.033691,5.2,9,8,9,10,7,43,41.0,84.0
11230,Saitama,Niiza,新座市,0.001980,-0.009161,-0.008229,0.023015,6.3,7,8,7,6,5,33,37.5,70.5
11231,Saitama,Okegawa,桶川市,-0.001385,-0.014404,-0.009528,0.018909,6.7,6,6,6,5,4,27,31.0,58.0
11232,Saitama,Kuki,久喜市,-0.002430,-0.013881,-0.015099,0.013357,7.0,5,6,5,4,3,23,34.0,57.0
11233,Saitama,Kitamoto,北本市,-0.005040,-0.023624,-0.014852,0.014167,7.2,4,4,5,4,3,20,31.0,51.0
11234,Saitama,Yashio,八潮市,0.009067,-0.005583,0.013222,0.040067,9.4,10,9,10,10,1,40,38.0,78.0
11235,Saitama,Fujimi,富士見市,0.003818,-0.008640,0.002651,0.030076,8.3,8,8,9,8,2,35,37.0,72.0
11237,Saitama,Misato,三郷市,0.003847,-0.002531,-0.009179,0.026411,8.8,8,9,6,8,1,32,35.5,67.5
11238,Saitama,Hasuda,蓮田市,-0.002680,-0.013810,-0.011762,0.015513,7.7,5,6,5,5,2,23,29.5,52.5
11239,Saitama,Sakado,坂戸市,-0.001579,-0.018191,-0.014007,0.016617,7.5,6,5,5,5,2,23,34.0,57.0
11240,Saitama,Satte,幸手市,-0.008400,-0.024482,-0.029235,0.008537,6.5,3,4,2,3,4,16,29.5,45.5
11241,Saitama,Tsurugashima,鶴ヶ島市,-0.000497,-0.021159,-0.009741,0.018479,6.7,6,4,6,5,4,25,35.5,60.5
11242,Saitama,Hidaka,日高市,-0.005473,-0.023731,-0.023983,0.009791,6.9,4,4,3,3,3,17,27.0,44.0
11243,Saitama,Yoshikawa,吉川市,0.003556,-0.013263,-0.009951,0.023429,7.8,8,7,6,6,2,29,37.5,66.5
11245,Saitama,Fujimino,ふじみ野市,0.002333,-0.012573,-0.007614,0.023539,7.3,7,7,7,6,3,30,34.0,64.0
11246,Saitama,Shiraoka,白岡市,0.001377,-0.008753,-0.007621,0.013658,5.4,7,8,7,4,7,33,31.0,64.0
11300,,,,0.002143,,,,6.0,7,,,,6,13,,19.5
11301,Saitama,Ina,北足立郡伊奈町,0.002143,-0.020393,-0.008453,0.024902,7.9,7,4,6,7,2,26,,39.0
11320,,,,-0.006809,,,,6.3,4,,,,5,9,,13.5
11324,Saitama,Miyoshi,入間郡三芳町,-0.002262,-0.017981,-0.012929,0.013637,5.1,5,5,5,4,8,27,,40.5
11326,Saitama,Moroyama,入間郡毛呂山町,-0.009645,-0.037737,-0.023818,0.005607,8.6,3,2,3,2,1,11,30.5,41.5
11327,Saitama,Ogose,入間郡越生町,-0.013387,-0.041195,-0.032136,0.003433,5.5,3,1,2,2,7,15,27.5,42.5
11340,,,,-0.009612,,,,6.2,3,,,,5,8,,12.0
11341,Saitama,Namegawa,比企郡滑川町,0.010781,0.006018,-0.001883,0.030860,8.5,10,10,8,9,1,38,,57.0
11342,Saitama,Arashiyama,比企郡嵐山町,-0.005301,-0.028969,-0.015153,0.015167,7.8,4,3,5,5,2,19,,28.5
11343,Saitama,Ogawamachi,比企郡小川町,-0.015896,-0.039949,-0.040923,-0.008477,6.8,2,1,1,1,4,9,24.0,33.0
11346,Saitama,Kawashima,比企郡川島町,-0.012758,-0.038727,-0.036276,0.006515,10.7,3,1,1,2,1,8,,12.0
11347,Saitama,Yosimi,比企郡吉見町,-0.014456,-0.039842,-0.037354,0.000244,5.7,2,1,1,1,6,11,,16.5
11348,Saitama,Hatoyama,比企郡鳩山町,-0.012327,-0.035216,-0.042658,0.001904,5.7,3,2,1,2,6,14,,21.0
11349,Saitama,Tokigawa,比企郡ときがわ町,-0.016435,-0.033491,-0.042245,-0.005484,5.6,2,2,1,1,7,13,26.0,39.0
11360,,,,-0.018953,,,,4.0,1,,,,9,10,,15.0
11361,Saitama,Yokoze,秩父郡横瀬町,-0.014451,-0.031683,-0.029936,0.007117,2.2,2,2,2,2,10,18,,27.0
11362,Saitama,Minano,秩父郡皆野町,-0.016020,-0.036217,-0.033293,0.007476,4.8,2,2,2,2,8,16,,24.0
11363,Saitama,Nagatoro,秩父郡長瀞町,-0.017688,-0.045502,-0.036192,-0.005911,6.1,1,1,2,1,6,11,,16.5
11365,Saitama,Ogano,秩父郡小鹿野町,-0.023699,-0.052400,-0.052857,-0.004701,2.4,1,1,1,1,10,14,,21.0
11369,Saitama,Higashichichibu,秩父郡東秩父村,-0.026119,-0.072495,-0.053516,-0.006617,2.9,1,1,1,1,10,14,,21.0
11380,,,,-0.005771,,,,7.4,4,,,,2,6,,9.0
11381,Saitama,Misato,児玉郡美里町,-0.008089,-0.020242,-0.026294,0.014035,4.7,3,5,3,4,8,23,24.0,47.0
11383,Saitama,Kamikawa,児玉郡神川町,-0.009902,-0.038094,-0.022005,0.009327,4.6,3,2,3,3,8,19,19.0,38.0
11385,Saitama,Kamisato,児玉郡上里町,-0.003145,-0.025443,-0.017412,0.014672,8.6,5,3,4,4,1,17,,25.5
11400,,,,-0.010533,,,,5.0,3,,,,8,11,,16.5
11408,Saitama,Yorii,大里郡寄居町,-0.010533,-0.029232,-0.021972,0.008174,4.5,3,3,3,3,9,21,25.0,46.0
11440,,,,0.000236,,,,5.8,6,,,,6,12,,18.0
11442,Saitama,Miyashiro,南埼玉郡宮代町,0.000236,-0.005452,-0.011961,0.016713,8.5,6,9,5,5,1,26,34.0,60.0
11460,,,,-0.007351,,,,6.2,3,,,,5,8,,12.0
11464,Saitama,Sugito,北葛飾郡杉戸町,-0.006073,-0.024702,-0.022992,0.012575,7.1,4,4,3,4,3,18,,27.0
11465,Saitama,Matsubushi,北葛飾郡松伏町,-0.009315,-0.037830,-0.019416,0.008122,6.7,3,2,4,3,4,16,,24.0
12100,Chiba,Chiba,千葉市,0.002214,-0.014068,-0.000289,0.025901,6.9,7,6,9,7,3,32,38.5,70.5
12101,Chiba,Chuo,千葉市中央区,0.007458,-0.007168,0.012148,0.025901,11.2,10,8,10,7,1,36,43.0,79.0
12102,Chiba,Hanamigawa,千葉市花見川区,-0.000600,-0.018189,0.000520,0.025901,5.4,6,5,9,7,7,34,38.5,72.5
12103,Chiba,Inage,千葉市稲毛区,0.001253,-0.014197,-0.008478,0.025901,7.2,7,6,6,7,3,29,40.0,69.0
12104,Chiba,Wakaba,千葉市若葉区,-0.002589,-0.019314,-0.007483,0.025901,7.2,5,5,7,7,3,27,34.0,61.0
12105,Chiba,Midori,千葉市緑区,0.002071,-0.015271,-0.007435,0.025901,4.9,7,6,7,7,8,35,27.0,62.0
12106,Chiba,Mihama,千葉市美浜区,0.004137,-0.012625,-0.000799,0.025901,6.9,8,7,8,7,3,33,38.5,71.5
12202,Chiba,Choshi,銚子市,-0.021193,-0.051448,-0.036089,-0.011915,6.1,1,1,2,1,5,10,21.5,31.5
12203,Chiba,Ichikawa,市川市,0.004551,-0.007252,0.000442,0.029573,5.9,9,8,9,8,6,40,47.0,87.0
12204,Chiba,Funabashi,船橋市,0.004160,-0.006916,-0.002175,0.025857,6.4,8,8,8,7,5,36,45.0,81.0
12205,Chiba,Tateyama,館山市,-0.011205,-0.032165,-0.027127,0.011622,5.2,3,2,2,3,7,17,22.5,39.5
12206,Chiba,Kisarazu,木更津市,0.002804,-0.006934,-0.003952,0.031427,5.7,8,8,8,9,6,39,31.0,70.0
12207,Chiba,Matsudo,松戸市,0.002640,-0.011601,0.000832,0.023589,5.8,7,7,9,6,6,35,43.5,78.5
12208,Chiba,Noda,野田市,-0.001526,-0.015120,-0.010675,0.018463,6.4,6,6,6,5,5,28,30.5,58.5
12210,Chiba,Mobara,茂原市,-0.006725,-0.024908,-0.021737,0.008569,6.4,4,4,4,3,5,20,22.5,42.5
12211,Chiba,Narita,成田市,0.001272,-0.015616,-0.004110,0.019760,8.3,7,6,8,6,2,29,27.5,56.5
12212,Chiba,Sakura,佐倉市,-0.004654,-0.019344,-0.022464,0.009059,4.6,4,5,3,3,8,23,32.0,55.0
12213,Chiba,Togane,東金市,-0.006650,-0.025997,-0.022546,0.010957,8.9,4,3,3,3,1,14,19.0,33.0
12215,Chiba,Asahi,旭市,-0.009246,-0.024996,-0.018683,0.010222,7.5,3,4,4,3,2,16,19.0,35.0
12216,Chiba,Narashino,習志野市,0.005038,-0.007311,-0.003340,0.025897,7.5,9,8,8,7,2,34,43.5,77.5
12217,Chiba,Kashiwa,柏市,0.007461,0.001469,-0.000945,0.027062,6.3,10,9,8,8,5,40,37.5,77.5
12218,Chiba,Katsuura,勝浦市,-0.024935,-0.053095,-0.061373,0.007969,9.1,1,1,1,2,1,6,24.0,30.0
12219,Chiba,Ichihara,市原市,-0.004915,-0.020844,-0.017025,0.015000,5.9,4,4,4,4,6,22,31.0,53.0
12220,Chiba,Nagareyama,流山市,0.021009,0.032004,0.013444,0.050554,4.3,10,10,10,10,9,49,42.0,91.0
12221,Chiba,Yachiyo,八千代市,0.006305,-0.008847,0.006517,0.031021,6.6,9,8,10,9,4,40,35.5,75.5
12222,Chiba,Abiko,我孫子市,-0.001435,-0.019406,-0.005191,0.014302,4.7,6,5,7,4,8,30,32.0,62.0
