code,prefecture,city,2017,2018,2019,2020,2021,2022,2023,2024,cagr_7y
113271,Saitama,越生町,15020492,15120171,15230908,15271759,15340302,15646357,15635169,15385213,0.003433
113417,Saitama,滑川町,26448149,27833896,28588846,28997217,30578015,31657676,32134060,32718526,0.03086
113425,Saitama,嵐山町,22898915,23496849,24008313,24031416,24316859,25118228,25568333,25443484,0.015167
113433,Saitama,小川町,40415251,40245777,39418455,39052693,38400618,39197751,38454504,38077191,-0.008477
113468,Saitama,川島町,26377790,26771613,26908368,26826023,26779560,26913121,27681288,27604522,0.006515
113476,Saitama,吉見町,25552851,25687241,26105833,25581136,25897770,25669903,25659926,25596463,0.000244
113484,Saitama,鳩山町,18696156,19091253,18661663,18065470,18085545,18570342,18389525,18946785,0.001904
113492,Saitama,ときがわ町,13886285,13784511,13510039,13383391,13466229,13786583,13798511,13361952,-0.005484
113611,Saitama,横瀬町,10143287,10348565,10366665,10346353,10585220,10854844,10871987,10659514,0.007117
113620,Saitama,皆野町,10914421,11181796,11265466,11171605,11729453,11980056,11863171,11498603,0.007476
113638,Saitama,長瀞町,8601405,8743070,9024463,8678098,8769500,8778315,8713073,8251754,-0.005911
113654,Saitama,小鹿野町,12858586,12945885,13010838,12593107,12770821,13255022,13820364,12441393,-0.004701
113697,Saitama,東秩父村,2961101,2840482,2848594,2854023,2971182,3204129,2894435,2826643,-0.006617
113816,Saitama,美里町,13023813,13265523,13602419,13687223,13972268,14435101,14578351,14358476,0.014035
113832,Saitama,神川町,15643015,15926271,15825007,15779977,16360439,16715364,17181373,16693331,0.009327
113859,Saitama,上里町,38811854,39112591,40314356,40131042,40675927,42082364,43133322,42977743,0.014672
114081,Saitama,寄居町,41189449,41504207,41788975,42405430,42438136,43338265,43960474,43604789,0.008174
114421,Saitama,宮代町,46848428,47168109,47921161,48879832,49937909,50919464,51702161,52611896,0.016713
114642,Saitama,杉戸町,61854040,63296608,63033601,63957545,64471595,66484090,66596256,67508469,0.012575
114651,Saitama,松伏町,39836224,40774618,40799139,40484590,41288712,42258435,42553140,42157048,0.008122
121002,Chiba,千葉市,1692257350,1708152434,1755287850,1898328179,1834691120,1896749580,1943129096,2023976160,0.025901
121011,Chiba,千葉市中央区,,,,,,,,,0.025901
121029,Chiba,千葉市花見川区,,,,,,,,,0.025901
121037,Chiba,千葉市稲毛区,,,,,,,,,0.025901
121045,Chiba,千葉市若葉区,,,,,,,,,0.025901
121053,Chiba,千葉市緑区,,,,,,,,,0.025901
121061,Chiba,千葉市美浜区,,,,,,,,,0.025901
122025,Chiba,銚子市,82791661,79571852,79568135,75639797,77982593,78569437,77257712,76128311,-0.011915
122033,Chiba,市川市,941547338,979137408,999551515,1023210079,1051117685,1081440896,1111461245,1154627642,0.029573
122041,Chiba,船橋市,1103635440,1136823604,1164645036,1181288903,1212692212,1256095883,1296308876,1319571008,0.025857
122050,Chiba,館山市,54967639,55456848,55203941,55041206,57493077,59556098,59964197,59598471,0.011622
122068,Chiba,木更津市,198861699,205761878,212271242,216659922,222056686,234688557,240272281,246956562,0.031427
122076,Chiba,松戸市,824776682,844124269,880404689,868340589,893980476,920134146,946064122,970990078,0.023589
122084,Chiba,野田市,209183108,217615877,217663967,222182620,226842166,231767120,235036350,237762795,0.018463
122106,Chiba,茂原市,120775803,122076163,123173497,123023048,124623165,126896284,129788589,128209383,0.008569
122114,Chiba,成田市,210409422,214546971,217521006,218336967,217426741,218861027,232179997,241296041,0.01976
122122,Chiba,佐倉市,287830693,291077456,291715530,291463824,293578846,299551963,299771193,306586777,0.009059
122131,Chiba,東金市,75222923,76660577,77558179,77612736,81193853,80341894,80615010,81185611,0.010957
122157,Chiba,旭市,83724062,84550345,85315386,85828653,87875242,90469955,89367702,89901733,0.010222
122165,Chiba,習志野市,314409223,323719503,329185744,333965457,345293186,358830469,366842924,376028018,0.025897
122173,Chiba,柏市,720218513,729689286,746569138,765791205,795079370,820956124,840794611,868239435,0.027062
122181,Chiba,勝浦市,18953641,18727324,18636564,18154864,18415564,19300735,19443043,20036550,0.007969
122190,Chiba,市原市,411298907,417636841,424182163,424460269,437843279,450644915,451454140,456478197,0.015
122203,Chiba,流山市,323767946,345149719,358745436,388208194,394909037,416340273,436398782,457258737,0.050554
122211,Chiba,八千代市,319766132,332579163,337410066,339844945,361385739,373304122,381976518,396009232,0.031021
122220,Chiba,我孫子市,221634153,221330825,223993079,225260803,228827428,233727585,241395625,244797114,0.014302
122238,Chiba,鴨川市,41187369,42411767,41359932,40880581,43120675,44611024,45604458,45129282,0.013143
122246,Chiba,鎌ケ谷市,165935559,172552709,170992470,173188000,184031962,180942738,183211709,191481149,0.020666
122254,Chiba,君津市,124701669,127610905,126223784,127072928,126810026,129683019,133153663,132878033,0.009114
122262,Chiba,富津市,57150890,60936139,57696571,57513079,58665073,60091590,60178855,59898451,0.006731
122271,Chiba,浦安市,397481679,400981804,414712047,425566308,423931243,441320994,456306538,727065077,0.090097
122289,Chiba,四街道市,142654534,147659533,148194913,150439353,156131960,160119314,165828213,166523341,0.022347
122297,Chiba,袖ケ浦市,90343158,94209795,97227870,99727575,104212069,109307053,112104424,115094955,0.035197
122301,Chiba,八街市,86474537,87901310,88657909,87458018,88335137,89453641,90790071,99873864,0.020793
122319,Chiba,印西市,163272429,168615799,173822043,179797487,188218475,196096779,204690275,211024303,0.03733
122327,Chiba,白井市,102356063,103874423,104972862,104733667,108677668,109511520,113699807,113010432,0.014247
122335,Chiba,富里市,66934578,67845799,69988318,70244952,71246676,72621765,74320713,76292185,0.018869
122343,Chiba,南房総市,39504203,39492194,38938551,38486278,40000209,41554791,40535872,40003866,0.001797
122351,Chiba,匝瑳市,43768284,44308322,44808635,44454411,45656037,46056301,46599205,45101446,0.004296
122360,Chiba,香取市,94622358,96671572,96272799,95695037,97557924,98552354,96923380,97076310,0.003664
122378,Chiba,山武市,60886661,61009311,61899934,61094967,61522129,62101687,62718136,62454751,0.003639
