code,prefecture,city_en,city_jp,sqm_per_person
131113,東京都,Ota,大田区,2.8048804444723117
131121,東京都,Setagaya,世田谷区,2.7674776641060577
131130,東京都,Shibuya,渋谷区,3.220183514086614
131148,東京都,Nakano,中野区,1.3675190958482646
131156,東京都,Suginami,杉並区,2.0863804742311594
131164,東京都,Toshima,豊島区,0.7154498542773873
131172,東京都,Kita,北区,2.702815060623258
131181,東京都,Arakawa,荒川区,1.8941455661564843
131199,東京都,Itabashi,板橋区,3.2922883718170026
131202,東京都,Nerima,練馬区,2.748360304231734
131211,東京都,Adachi,足立区,4.548032941780639
131229,東京都,Katsushika,葛飾区,3.954143426124197
131237,東京都,Edogawa,江戸川区,5.006764353347508
132012,東京都,Hachioji,八王子市,12.322402370641992
132021,東京都,Tachikawa,立川市,9.12595006054083
132039,東京都,Musashino,武蔵野市,4.188464572522648
132047,東京都,Mitaka,三鷹市,3.1538448296737713
132055,東京都,Ome,青梅市,4.752935551642105
132063,東京都,Fuchu,府中市,6.936607709994694
132071,東京都,Akishima,昭島市,9.71411540745398
132080,東京都,Chofu,調布市,5.192326300183437
132098,東京都,Machida,町田市,10.161696454296203
132101,東京都,Koganei,小金井市,6.390405813151011
132110,東京都,Kodaira,小平市,2.640050733064856
132128,東京都,Hino,日野市,7.06079122531921
132136,東京都,Higashimurayama,東村山市,5.251333829760595
132144,東京都,Kokubunji,国分寺市,1.736354048554698
132152,東京都,Kunitachi,国立市,2.0380821990011726
132187,東京都,Fussa,福生市,7.124160001415629
132195,東京都,Komae,狛江市,1.302074005505347
132209,東京都,Higashiyamato,東大和市,8.18168020215079
132217,東京都,Kiyose,清瀬市,0.6794664593275779
132225,東京都,Higashikurume,東久留米市,2.225726019637462
132233,東京都,Musashimurayama,武蔵村山市,17.644814976484835
132241,東京都,Tama,多摩市,15.921699802403637
132250,東京都,Inagi,稲城市,10.8413139121997
132276,東京都,Hamura,羽村市,6.227458284328138
132284,東京都,Akiruno,あきる野市,3.7665137776212694
132292,東京都,Nishitokyo,西東京市,1.3391547312031626
133001,東京都,Nishitama,西多摩郡,#REF!
133035,東京都,Mizuho,西多摩郡瑞穂町,38.03020803443329
133051,東京都,Hinode,西多摩郡日の出町,3.4137852760736194
133078,東京都,Hionohara,西多摩郡檜原村,0
133086,東京都,Okutama,西多摩郡奥多摩町,0
133604,東京都,Islands,島しょ,#REF!
133612,東京都,Oshima,大島町,9.817665425379548
133621,東京都,Rishima,利島村,0
133639,東京都,Nijima,新島村,5.055034651447207
133647,東京都,Kozushima,神津島村,0
133817,東京都,Miyake,三宅村,0
133825,東京都,Okurasima,御蔵島村,0
134015,東京都,Hchijo,八丈町,16.212884615384617
134023,東京都,Aogashima,青ヶ島村,0
134210,東京都,Ogasawara,小笠原村,62.51254615384615
141003,神奈川県,Yokohama,横浜市,4.931162298120201
141011,神奈川県,Tsurumi,横浜市鶴見区,4.931162298120201
141020,神奈川県,Kanagawa,横浜市神奈川区,4.931162298120201
141038,神奈川県,Nishi,横浜市西区,4.931162298120201
141046,神奈川県,Naka,横浜市中区,4.931162298120201
141054,神奈川県,Minami,横浜市南区,4.931162298120201
141062,神奈川県,Hodogaya,横浜市保土ケ谷区,4.931162298120201
141071,神奈川県,Isogo,横浜市磯子区,4.931162298120201
141089,神奈川県,Kanazawa,横浜市金沢区,4.931162298120201
141097,神奈川県,Kohoku,横浜市港北区,4.931162298120201
141101,神奈川県,Totsuka,横浜市戸塚区,4.931162298120201
141119,神奈川県,Konan,横浜市港南区,4.931162298120201
141127,神奈川県,Asahi,横浜市旭区,4.931162298120201
141135,神奈川県,Midori,横浜市緑区,4.931162298120201
141143,神奈川県,Seya,横浜市瀬谷区,4.931162298120201
141151,神奈川県,Sakae,横浜市栄区,4.931162298120201
141160,神奈川県,Izumi,横浜市泉区,4.931162298120201
141178,神奈川県,Aoba,横浜市青葉区,4.931162298120201
141186,神奈川県,Tsuzuki,横浜市都筑区,4.931162298120201
141305,神奈川県,Kawasaki,川崎市,3.959206245933637
141313,神奈川県,Kawasaki,川崎市川崎区,3.959206245933637
141321,神奈川県,Saiwai,川崎市幸区,3.959206245933637
141330,神奈川県,Nakahara,川崎市中原区,3.959206245933637
141348,神奈川県,Takatsu,川崎市高津区,3.959206245933637
141356,神奈川県,Tama,川崎市多摩区,3.959206245933637
141364,神奈川県,Miyamae,川崎市宮前区,3.959206245933637
141372,神奈川県,Asao,川崎市麻生区,3.959206245933637
141500,神奈川県,Sagamihara,相模原市,4.985595567867035
141518,神奈川県,Midori,相模原市緑区,4.985595567867035
141526,神奈川県,Chuo,相模原市中央区,4.985595567867035
141534,神奈川県,Minami,相模原市南区,4.985595567867035
142018,神奈川県,Yokosuka,横須賀市,17.297894736842107
142034,神奈川県,Hiratsuka,平塚市,5.509689922480621
142042,神奈川県,Kamakura,鎌倉市,9.898265895953758
142051,神奈川県,Fujisawa,藤沢市,5.298868778280543
142069,神奈川県,Odawara,小田原市,5.4515957446808505
142077,神奈川県,Chigasaki,茅ヶ崎市,3.364344262295082
142085,神奈川県,Zushi,逗子市,16.242105263157896
142107,神奈川県,Miura,三浦市,9.166666666666666
142115,神奈川県,Hadano,秦野市,6.578881987577639
142123,神奈川県,Atsugi,厚木市,8.173660714285715
142131,神奈川県,Yamato,大和市,3.309128630705394
142140,神奈川県,Isehara,伊勢原市,5.142156862745098
142158,神奈川県,Ebina,海老名市,4.703597122302158
142166,神奈川県,Zama,座間市,4.909848484848485
142174,神奈川県,Minamiashigara,南足柄市,5.1175
142182,神奈川県,Ayase,綾瀬市,6.97710843373494
143006,神奈川県,Miura,三浦郡,19.49090909090909
143014,神奈川県,Miurahayama,三浦郡葉山町,19.49090909090909
143201,神奈川県,Koza,高座郡,3.8125000000000004
143219,神奈川県,Samukawa,高座郡寒川町,3.8125000000000004
143405,神奈川県,Naka,中郡,9.678456221198157
143413,神奈川県,Oiso,中郡大磯町,10.935483870967742
143421,神奈川県,Ninomiya,中郡二宮町,8.42142857142857
143600,神奈川県,Ashigarakami,足柄上郡,11.62781561747506
143618,神奈川県,Nakai,足柄上郡中井町,24.566666666666666
143626,神奈川県,Oi,足柄上郡大井町,0.2823529411764706
143634,神奈川県,Matsuda,足柄上郡松田町,7.177777777777777
143642,神奈川県,Yamakita,足柄上郡山北町,24.433333333333334
143669,神奈川県,Kaisei,足柄上郡開成町,1.6789473684210527
143804,神奈川県,Ashigarashimo,足柄下郡,10.486075036075034
143821,神奈川県,Hakone,足柄下郡箱根町,17.627272727272725
143839,神奈川県,Manazuru,足柄下郡真鶴町,3.1142857142857143
143847,神奈川県,Yugawara,足柄下郡湯河原町,10.716666666666665
144002,神奈川県,Aiko,愛甲郡,12.4375
144011,神奈川県,Aikawa,愛甲郡愛川町,24.875
144029,神奈川県,Kiyokawa,愛甲郡清川村,0
