code,prefecture,city,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,cagr_10y,cagr_5y
142158,神奈川県,海老名市,143600,147400,149800,152000,153900,155900,156100,156700,159100,165900,0.016168602048665326,0.015664019789667583
110001,埼玉県,埼玉県,121200,122400,123400,124800,127100,129700,129400,130900,135500,139800,0.015989909336554975,0.018924016389006093
111023,埼玉県,さいたま市北区,161000,161400,163100,166000,170200,174900,173000,175600,180300,185200,0.015680779476573203,0.014408298176980416
132063,東京都,府中市,279600,279300,282200,285200,289000,292700,292800,297200,307500,321500,0.01563626836482257,0.023739743417303227
141305,神奈川県,川崎市,252800,253900,257200,261500,267000,272500,273000,274800,280400,290300,0.015487169849335736,0.015944848013713875
141356,神奈川県,川崎市多摩区,218000,216800,220100,224900,231000,236900,237600,239000,242500,250100,0.015379936268127725,0.013647976500817727
132195,東京都,狛江市,293400,293900,296200,298500,302700,308800,308100,312400,322500,336300,0.01527851367171107,0.02155650570592682
132101,東京都,小金井市,310300,309300,313400,318500,327300,337900,337600,339800,346400,355400,0.015192510954057381,0.01270349295412676
141534,神奈川県,相模原市南区,181400,182600,184200,186000,189000,192400,192800,194700,198900,207700,0.015157075593765779,0.019313690280050144
141313,神奈川県,川崎市川崎区,263700,266100,268500,271600,276500,282600,283300,286000,292200,301300,0.014920702313120815,0.016147477834772328
141011,神奈川県,横浜市鶴見区,248800,249300,252800,256800,261200,265800,266200,270000,274900,284100,0.014851078346538538,0.01678484445692696
112356,埼玉県,富士見市,158700,161200,162400,165000,168800,171900,169500,170500,175400,181100,0.014778553969994723,0.013119427440140718
132292,東京都,西東京市,266400,270400,274000,279000,284200,288700,287800,290200,296800,303500,0.01459240816883045,0.01257681213458195
121002,千葉県,千葉市,116800,113900,114700,116300,118500,120800,121900,123600,126600,132100,0.013771311851736412,0.022607493479839702
141003,神奈川県,横浜市,217800,218400,221500,224500,228000,231600,231600,234100,238700,245800,0.013528581603428735,0.014987820443066013
113859,埼玉県,上里町,31500,31400,35500,35500,35500,35500,35500,35500,35500,35500,0.013371402718596492,
112216,埼玉県,草加市,131000,129400,130000,132600,135600,137800,137000,138500,141500,147300,0.013115710665376312,0.016806660396492923
142131,神奈川県,大和市,183300,182000,183100,184100,185600,187500,187200,189500,194300,205900,0.013002299713991139,0.0236789398537951
112283,埼玉県,志木市,221600,221900,223600,227000,230600,233400,231000,234100,240700,248300,0.012720643023737876,0.015591288542537773
113247,埼玉県,三芳町,133000,134000,134800,136700,139300,141700,139800,140000,143900,148700,0.012475142896579694,0.012127627144114195
112348,埼玉県,八潮市,119500,119300,123500,124600,125800,127000,126100,126900,128700,133000,0.011963525823030619,0.01160735903955934
112089,埼玉県,所沢市,164300,163100,164000,166200,168600,170700,168500,171300,175900,182500,0.011741299551154771,0.016851039467909557
