code,prefecture,city_jp,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,cagr_10y
11240,埼玉県,幸手市,53096,52725,52401,51939,51338,50886,50256,49721,49404,49063,48801,-0.008400
11241,埼玉県,鶴ヶ島市,70184,70145,70061,70050,70144,69935,69937,70069,70190,70063,69836,-0.000497
11242,埼玉県,日高市,57249,57015,56600,56340,56066,55696,55294,54852,54615,54396,54192,-0.005473
11243,埼玉県,吉川市,69871,71048,71584,72382,72891,73050,73248,73182,73001,72678,72396,0.003556
11245,埼玉県,ふじみ野市,111920,112919,113553,114058,114292,114306,114557,114279,114156,114363,114559,0.002333
11246,埼玉県,白岡市,51688,52035,52257,52539,52497,52404,52475,52705,52748,52649,52404,0.001377
11300,埼玉県,北足立郡,44088,44437,44501,44699,44789,44830,44959,45030,45221,45045,45042,0.002143
11301,埼玉県,北足立郡伊奈町,44088,44437,44501,44699,44789,44830,44959,45030,45221,45045,45042,0.002143
11320,埼玉県,入間郡,85846,85258,84837,84424,83820,83309,82665,82090,81428,80681,80177,-0.006809
11324,埼玉県,入間郡三芳町,38233,38188,38243,38404,38324,38191,38135,37942,37738,37453,37377,-0.002262
11326,埼玉県,入間郡毛呂山町,35304,34977,34690,34207,33852,33551,33178,32900,32616,32365,32043,-0.009645
11327,埼玉県,入間郡越生町,12309,12093,11904,11813,11644,11567,11352,11248,11074,10863,10757,-0.013387
11340,埼玉県,比企郡,136383,135043,133831,132675,131640,130410,129055,127730,126603,125261,123826,-0.009612
11341,埼玉県,比企郡滑川町,17748,17999,18286,18671,19038,19294,19562,19670,19711,19745,19757,0.010781
11342,埼玉県,比企郡嵐山町,18274,18145,18052,17944,17996,17890,17747,17630,17596,17516,17328,-0.005301
11343,埼玉県,比企郡小川町,32218,31618,31199,30619,30105,29628,29075,28647,28244,27886,27448,-0.015896
11346,埼玉県,比企郡川島町,21229,21028,20744,20545,20294,19952,19672,19345,19188,18874,18671,-0.012758
11347,埼玉県,比企郡吉見町,20382,20013,19745,19421,19168,18920,18654,18390,18117,17859,17620,-0.014456
11348,埼玉県,比企郡鳩山町,14470,14389,14165,14000,13822,13657,13446,13289,13158,12967,12782,-0.012327
11349,埼玉県,比企郡ときがわ町,12062,11851,11640,11475,11217,11069,10899,10759,10589,10414,10220,-0.016435
11360,埼玉県,秩父郡*,42760,41958,41170,40516,39767,39105,38460,37623,36901,36103,35313,-0.018953
11361,埼玉県,秩父郡横瀬町*,8792,,8518,8420,8322,8194,8131,7976,7835,7748,7601,-0.014451
